2014-12-11 03:59:51 configure libc6:i386 2.19-0ubuntu6 2.19-0ubuntu6
2014-12-11 03:59:51 status unpacked libc6:i386 2.19-0ubuntu6
2014-12-11 03:59:51 status unpacked libc6:i386 2.19-0ubuntu6
2014-12-11 03:59:51 status half-configured libc6:i386 2.19-0ubuntu6
2014-12-11 03:59:51 status installed libc6:i386 2.19-0ubuntu6
2014-12-11 03:59:51 startup archives install
2014-12-11 03:59:51 install perl-base:i386 <none> 5.18.2-2ubuntu1
2014-12-11 03:59:51 status half-installed perl-base:i386 5.18.2-2ubuntu1
2014-12-11 03:59:52 status unpacked perl-base:i386 5.18.2-2ubuntu1
2014-12-11 03:59:52 status unpacked perl-base:i386 5.18.2-2ubuntu1
2014-12-11 03:59:52 configure perl-base:i386 5.18.2-2ubuntu1 5.18.2-2ubuntu1
2014-12-11 03:59:52 status unpacked perl-base:i386 5.18.2-2ubuntu1
2014-12-11 03:59:52 status half-configured perl-base:i386 5.18.2-2ubuntu1
2014-12-11 03:59:52 status installed perl-base:i386 5.18.2-2ubuntu1
2014-12-11 03:59:52 startup archives install
2014-12-11 03:59:52 install mawk:i386 <none> 1.3.3-17ubuntu2
2014-12-11 03:59:52 status half-installed mawk:i386 1.3.3-17ubuntu2
2014-12-11 03:59:52 status unpacked mawk:i386 1.3.3-17ubuntu2
2014-12-11 03:59:52 status unpacked mawk:i386 1.3.3-17ubuntu2
2014-12-11 03:59:52 configure mawk:i386 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2014-12-11 03:59:52 status unpacked mawk:i386 1.3.3-17ubuntu2
2014-12-11 03:59:52 status half-configured mawk:i386 1.3.3-17ubuntu2
2014-12-11 03:59:52 status installed mawk:i386 1.3.3-17ubuntu2
2014-12-11 03:59:52 startup archives install
2014-12-11 03:59:52 install debconf:all <none> 1.5.51ubuntu2
2014-12-11 03:59:52 status half-installed debconf:all 1.5.51ubuntu2
2014-12-11 03:59:52 status unpacked debconf:all 1.5.51ubuntu2
2014-12-11 03:59:52 status unpacked debconf:all 1.5.51ubuntu2
2014-12-11 03:59:52 configure debconf:all 1.5.51ubuntu2 1.5.51ubuntu2
2014-12-11 03:59:52 status unpacked debconf:all 1.5.51ubuntu2
2014-12-11 03:59:52 status unpacked debconf:all 1.5.51ubuntu2
2014-12-11 03:59:52 status unpacked debconf:all 1.5.51ubuntu2
2014-12-11 03:59:52 status unpacked debconf:all 1.5.51ubuntu2
2014-12-11 03:59:52 status half-configured debconf:all 1.5.51ubuntu2
2014-12-11 03:59:52 status installed debconf:all 1.5.51ubuntu2
2014-12-11 03:59:52 startup archives unpack
2014-12-11 03:59:52 install adduser:all <none> 3.113+nmu3ubuntu3
2014-12-11 03:59:52 status half-installed adduser:all 3.113+nmu3ubuntu3
2014-12-11 03:59:52 status unpacked adduser:all 3.113+nmu3ubuntu3
2014-12-11 03:59:52 status unpacked adduser:all 3.113+nmu3ubuntu3
2014-12-11 03:59:52 upgrade base-files:i386 7.2ubuntu5 7.2ubuntu5
2014-12-11 03:59:52 status half-configured base-files:i386 7.2ubuntu5
2014-12-11 03:59:52 status unpacked base-files:i386 7.2ubuntu5
2014-12-11 03:59:52 status half-installed base-files:i386 7.2ubuntu5
2014-12-11 03:59:52 status half-installed base-files:i386 7.2ubuntu5
2014-12-11 03:59:52 status unpacked base-files:i386 7.2ubuntu5
2014-12-11 03:59:52 status unpacked base-files:i386 7.2ubuntu5
2014-12-11 03:59:52 upgrade base-passwd:i386 3.5.33 3.5.33
2014-12-11 03:59:52 status half-configured base-passwd:i386 3.5.33
2014-12-11 03:59:52 status unpacked base-passwd:i386 3.5.33
2014-12-11 03:59:52 status half-installed base-passwd:i386 3.5.33
2014-12-11 03:59:52 status half-installed base-passwd:i386 3.5.33
2014-12-11 03:59:52 status unpacked base-passwd:i386 3.5.33
